Date,Consumption
01/01/2019,208.14
01/02/2019,186.81
01/03/2019,87.62
01/04/2019,142.45
01/05/2019,208.51
01/06/2019,207.14
01/07/2019,79.86
01/08/2019,110.01
01/09/2019,75.38
01/10/2019,131.4
01/11/2019,107.89
01/12/2019,142.85
01/13/2019,150.17
01/14/2019,124.27
01/15/2019,159.82
01/16/2019,201.77
01/17/2019,68.74
01/18/2019,73.17
01/19/2019,80.49
01/20/2019,176.41
01/21/2019,118.92
01/22/2019,118.4
01/23/2019,190.17
01/24/2019,102.45
01/25/2019,77.97
01/26/2019,204.09
01/27/2019,182.88
01/28/2019,135.07
01/29/2019,71.94
01/30/2019,133.86
01/31/2019,201.05
02/01/2019,223.47
02/02/2019,113.93
02/03/2019,97.02
02/04/2019,189.95
02/05/2019,62.62
02/06/2019,80.34
02/07/2019,86.53
02/08/2019,114.08
02/09/2019,132.99
02/10/2019,131.32
02/11/2019,202.61
02/12/2019,171.35
02/13/2019,119.24
02/14/2019,193.62
02/15/2019,81.09
02/16/2019,156.1
02/17/2019,202.52
02/18/2019,201.36
02/19/2019,121.8
02/20/2019,58.18
02/21/2019,208.28
02/22/2019,133.36
02/23/2019,161.57
02/24/2019,118.84
02/25/2019,102.94
02/26/2019,163.36
02/27/2019,183.4
02/28/2019,189.99
03/01/2019,178.77
03/02/2019,92.83
03/03/2019,118.22
03/04/2019,138.83
03/05/2019,185.32
03/06/2019,107.27
03/07/2019,91.68
03/08/2019,213.65
03/09/2019,112.12
03/10/2019,191.37
03/11/2019,139.02
03/12/2019,133.76
03/13/2019,215.26
03/14/2019,67.19
03/15/2019,120.92
03/16/2019,193.62
03/17/2019,89.11
03/18/2019,187.85
03/19/2019,160.85
03/20/2019,87.26
03/21/2019,210.62
03/22/2019,94.43
03/23/2019,118.58
03/24/2019,153.75
03/25/2019,213.13
03/26/2019,170.6
03/27/2019,177.54
03/28/2019,186.6
03/29/2019,193.67
03/30/2019,123.04
03/31/2019,210.97
04/01/2019,111.61
04/02/2019,138.88
04/03/2019,119.28
04/04/2019,187.02
04/05/2019,111.43
04/06/2019,208.45
04/07/2019,135.66
04/08/2019,206.89
04/09/2019,77.03
04/10/2019,187.39
04/11/2019,102.5
04/12/2019,126.6
04/13/2019,206.12
04/14/2019,112.57
04/15/2019,188.52
04/16/2019,152.39
04/17/2019,114.39
04/18/2019,82.07
04/19/2019,126.29
04/20/2019,106.76
04/21/2019,155.77
04/22/2019,124.29
04/23/2019,59.14
04/24/2019,92.65
04/25/2019,130.66
04/26/2019,94.43
04/27/2019,160.39
04/28/2019,145.56
04/29/2019,174.25
04/30/2019,73.58
05/01/2019,122.31
05/02/2019,175.72
05/03/2019,156.49
