Date,Consumption
01/01/2019,57.64
01/02/2019,91.58
01/03/2019,122.31
01/04/2019,74.84
01/05/2019,223.53
01/06/2019,63.89
01/07/2019,66.39
01/08/2019,163.61
01/09/2019,119.31
01/10/2019,89.39
01/11/2019,59.79
01/12/2019,172.29
01/13/2019,115.95
01/14/2019,92.53
01/15/2019,68.66
01/16/2019,227.42
01/17/2019,217.19
01/18/2019,134.64
01/19/2019,79.33
01/20/2019,75.55
01/21/2019,100.88
01/22/2019,113.41
01/23/2019,198.35
01/24/2019,177.76
01/25/2019,161.36
01/26/2019,94.89
01/27/2019,96.11
01/28/2019,101.46
01/29/2019,93.87
01/30/2019,124.81
01/31/2019,164.79
02/01/2019,130.89
02/02/2019,182.54
02/03/2019,118.79
02/04/2019,168.11
02/05/2019,202.92
02/06/2019,82.13
02/07/2019,87.19
02/08/2019,173.24
02/09/2019,148.2
02/10/2019,147.23
02/11/2019,195.95
02/12/2019,163.23
02/13/2019,216.7
02/14/2019,202.53
02/15/2019,121.65
02/16/2019,211.58
02/17/2019,87.64
02/18/2019,199.65
02/19/2019,78.69
02/20/2019,123.32
02/21/2019,161.9
02/22/2019,88.86
02/23/2019,114.07
02/24/2019,196.7
02/25/2019,79.81
02/26/2019,60.56
02/27/2019,124.82
02/28/2019,189.34
03/01/2019,196.56
03/02/2019,72.48
03/03/2019,195.67
03/04/2019,103.92
03/05/2019,149.81
03/06/2019,132.37
03/07/2019,217.38
03/08/2019,184.54
03/09/2019,207.68
03/10/2019,96.66
03/11/2019,209.01
03/12/2019,64.8
03/13/2019,68.48
03/14/2019,137.63
03/15/2019,187.26
03/16/2019,214.78
03/17/2019,102.84
03/18/2019,130.54
03/19/2019,57.72
03/20/2019,188.6
03/21/2019,68.38
03/22/2019,65.87
03/23/2019,103.35
03/24/2019,80.16
03/25/2019,192.63
03/26/2019,136.98
03/27/2019,108.61
03/28/2019,152.47
03/29/2019,94.42
03/30/2019,200.54
03/31/2019,141.46
04/01/2019,147.89
04/02/2019,198.08
04/03/2019,124.14
04/04/2019,205.04
04/05/2019,95.85
04/06/2019,192.38
04/07/2019,158.5
04/08/2019,99.41
04/09/2019,129.92
04/10/2019,90.98
04/11/2019,156.65
04/12/2019,147.84
04/13/2019,68.03
04/14/2019,108.57
04/15/2019,77.27
04/16/2019,129.48
04/17/2019,70.9
04/18/2019,190.37
04/19/2019,152.99
04/20/2019,163.38
04/21/2019,103.45
04/22/2019,94.1
04/23/2019,96.96
04/24/2019,178.03
04/25/2019,204.27
04/26/2019,142.43
04/27/2019,142.68
04/28/2019,118.48
04/29/2019,164.1
04/30/2019,186.59
05/01/2019,209.36
05/02/2019,116.24
05/03/2019,134.91
05/04/2019,103.14
05/05/2019,198.93
05/06/2019,66.78
05/07/2019,164.12
05/08/2019,122.82
05/09/2019,78.43
05/10/2019,98.36
05/11/2019,177.09
05/12/2019,107.58
05/13/2019,124.95
05/14/2019,151.06
05/15/2019,111.79
05/16/2019,181.5
05/17/2019,146.02
05/18/2019,76.44
05/19/2019,98.7
05/20/2019,185.99
05/21/2019,128
05/22/2019,125.06
05/23/2019,158.08
05/24/2019,165.79
05/25/2019,163.46
05/26/2019,171.63
05/27/2019,151.55
05/28/2019,64.22
05/29/2019,172.59
05/30/2019,122.98
05/31/2019,153.09
06/01/2019,187.51
06/02/2019,103.33
06/03/2019,145.99
06/04/2019,71.06
06/05/2019,182.23
06/06/2019,101.86
06/07/2019,183.27
06/08/2019,109.13
06/09/2019,166.04
06/10/2019,138.97
06/11/2019,89.48
06/12/2019,176.94
06/13/2019,104.43
06/14/2019,88.98
06/15/2019,96.3
06/16/2019,151.78
06/17/2019,160.67
06/18/2019,154.34
06/19/2019,142.61
06/20/2019,66.37
06/21/2019,125.36
06/22/2019,93.3
06/23/2019,70.31
06/24/2019,88.31
06/25/2019,77.47
06/26/2019,110.81
06/27/2019,163.86
06/28/2019,152.92
06/29/2019,181.49
06/30/2019,161.89
07/01/2019,92.71
07/02/2019,127.3
07/03/2019,132.3
07/04/2019,66.98
07/05/2019,69.66
07/06/2019,143.76
07/07/2019,131.4
07/08/2019,88.33
07/09/2019,88.99
07/10/2019,70.43
07/11/2019,160.61
07/12/2019,148.78
07/13/2019,81.89
07/14/2019,117.6
07/15/2019,85.21
07/16/2019,143.06
07/17/2019,167.87
07/18/2019,134.61
07/19/2019,94.52
07/20/2019,125.54
07/21/2019,180.57
07/22/2019,111.81
07/23/2019,98.78
07/24/2019,173.87
07/25/2019,143.12
07/26/2019,153.28
07/27/2019,116.2
07/28/2019,129.08
07/29/2019,90.18
07/30/2019,158.86
07/31/2019,176.83
08/01/2019,157.95
08/02/2019,156.4
08/03/2019,60.18
08/04/2019,144.21
08/05/2019,110.74
08/06/2019,145.85
08/07/2019,124.71
08/08/2019,86.71
08/09/2019,125.83
08/10/2019,111.63
08/11/2019,77.66
08/12/2019,155.75
08/13/2019,113.08
08/14/2019,118.67
08/15/2019,118.77
08/16/2019,122.91
08/17/2019,138.53
08/18/2019,88.41
08/19/2019,82.47
08/20/2019,172.45
08/21/2019,67.4
08/22/2019,76.53
08/23/2019,115.91
08/24/2019,166.86
