Date,Consumption
01/01/2019,80
01/02/2019,203.11
01/03/2019,213.15
01/04/2019,184.1
01/05/2019,68.17
01/06/2019,62.88
01/07/2019,107.46
01/08/2019,141.77
01/09/2019,162.29
01/10/2019,65.46
01/11/2019,120.94
01/12/2019,173.46
01/13/2019,77.44
01/14/2019,151.54
01/15/2019,151.49
01/16/2019,188.15
01/17/2019,106.74
01/18/2019,156.57
01/19/2019,181.32
01/20/2019,146.89
01/21/2019,82.18
01/22/2019,123.78
01/23/2019,137.48
01/24/2019,196.85
01/25/2019,148.31
01/26/2019,198.01
01/27/2019,80.92
01/28/2019,186.8
01/29/2019,207.37
01/30/2019,204.03
01/31/2019,201.71
02/01/2019,217.77
02/02/2019,101.31
02/03/2019,192.03
02/04/2019,208.43
02/05/2019,186.33
02/06/2019,108.57
02/07/2019,59.56
02/08/2019,73.48
02/09/2019,77.01
02/10/2019,188.13
02/11/2019,161.6
02/12/2019,137.82
02/13/2019,167.21
02/14/2019,69.6
02/15/2019,150.7
02/16/2019,121.85
02/17/2019,139.75
02/18/2019,199.81
02/19/2019,177.06
02/20/2019,170.81
02/21/2019,102.38
02/22/2019,217.32
02/23/2019,166.44
02/24/2019,133.73
02/25/2019,199.79
02/26/2019,152.91
02/27/2019,96.1
02/28/2019,164.54
03/01/2019,110.92
03/02/2019,74.28
03/03/2019,105.7
03/04/2019,145.93
03/05/2019,198.1
03/06/2019,211.43
03/07/2019,76.42
03/08/2019,200.71
03/09/2019,126.24
03/10/2019,132.87
03/11/2019,171.1
03/12/2019,136.14
03/13/2019,91.03
03/14/2019,189.52
03/15/2019,142.14
03/16/2019,59.59
03/17/2019,205.98
03/18/2019,172.09
03/19/2019,156.77
03/20/2019,199.64
03/21/2019,179.6
03/22/2019,180.8
03/23/2019,198.39
03/24/2019,179.53
03/25/2019,120.43
03/26/2019,190.69
03/27/2019,122.17
03/28/2019,177.31
03/29/2019,118.05
03/30/2019,209.11
03/31/2019,110.33
04/01/2019,123.12
04/02/2019,96.08
04/03/2019,106.49
04/04/2019,145.62
04/05/2019,172.1
04/06/2019,89.18
04/07/2019,147.76
04/08/2019,202.98
04/09/2019,110.26
04/10/2019,130.91
04/11/2019,69.93
04/12/2019,108.27
04/13/2019,199.3
04/14/2019,159.83
04/15/2019,119.38
04/16/2019,152.82
04/17/2019,177.82
04/18/2019,86.49
04/19/2019,178.33
04/20/2019,88.92
04/21/2019,70.91
04/22/2019,169.46
04/23/2019,165.05
04/24/2019,89.5
04/25/2019,185.3
04/26/2019,64.16
04/27/2019,194.98
04/28/2019,140.22
04/29/2019,61.19
04/30/2019,87.52
05/01/2019,138.11
05/02/2019,138.29
05/03/2019,119.67
05/04/2019,178.1
05/05/2019,151.02
05/06/2019,99.27
05/07/2019,145.03
05/08/2019,72.15
05/09/2019,178.29
05/10/2019,76.21
05/11/2019,128.01
05/12/2019,189.27
05/13/2019,170.76
05/14/2019,104.08
05/15/2019,131.28
05/16/2019,99.23
05/17/2019,179.75
05/18/2019,154.52
05/19/2019,134.61
05/20/2019,126.17
05/21/2019,126.8
05/22/2019,161.94
05/23/2019,73.8
05/24/2019,179.34
05/25/2019,168.97
05/26/2019,158.19
05/27/2019,83.49
05/28/2019,95.55
05/29/2019,62.97
05/30/2019,101.76
05/31/2019,175.19
06/01/2019,126.67
06/02/2019,152.16
06/03/2019,134.09
06/04/2019,181
06/05/2019,94.91
06/06/2019,77.2
06/07/2019,174.9
06/08/2019,66.56
06/09/2019,102.92
06/10/2019,174.04
06/11/2019,129.28
06/12/2019,183.51
06/13/2019,163.59
06/14/2019,166.09
06/15/2019,112.71
06/16/2019,169.3
06/17/2019,126.96
06/18/2019,150.18
06/19/2019,103.52
06/20/2019,163.43
06/21/2019,115.87
06/22/2019,167.72
06/23/2019,139.31
06/24/2019,147.56
06/25/2019,88.45
06/26/2019,158.15
06/27/2019,171.44
06/28/2019,92.79
06/29/2019,138.12
06/30/2019,159.23
07/01/2019,163.4
07/02/2019,84.46
07/03/2019,144.1
07/04/2019,60.03
07/05/2019,83.36
07/06/2019,140.44
07/07/2019,89.8
07/08/2019,114.96
07/09/2019,104.98
07/10/2019,169.04
07/11/2019,171.15
07/12/2019,125.94
07/13/2019,95.96
07/14/2019,132.24
07/15/2019,165.52
07/16/2019,129.76
07/17/2019,75.92
07/18/2019,160.85
07/19/2019,104.09
07/20/2019,84.77
07/21/2019,103.36
07/22/2019,77.94
07/23/2019,150.56
07/24/2019,162.94
07/25/2019,117.33
07/26/2019,98.1
07/27/2019,141.91
07/28/2019,128.13
07/29/2019,131.76
07/30/2019,116.52
07/31/2019,152.19
08/01/2019,163.73
08/02/2019,132.86
08/03/2019,159.12
08/04/2019,79.9
08/05/2019,153.21
08/06/2019,123.88
08/07/2019,92.2
08/08/2019,114.87
08/09/2019,154.51
08/10/2019,157.13
08/11/2019,127.18
08/12/2019,129.32
08/13/2019,64.26
08/14/2019,67.44
08/15/2019,103.1
08/16/2019,106.72
08/17/2019,98.13
08/18/2019,70.1
08/19/2019,89.42
08/20/2019,77.52
08/21/2019,57.89
08/22/2019,113.97
08/23/2019,83.98
08/24/2019,115.85
08/25/2019,116.97
08/26/2019,132.28
08/27/2019,138.69
08/28/2019,110.58
08/29/2019,92.31
08/30/2019,115.26
08/31/2019,117.62
09/01/2019,151.68
09/02/2019,68.26
09/03/2019,76.95
09/04/2019,58.51
09/05/2019,145.23
09/06/2019,82.59
09/07/2019,70.8
09/08/2019,134.55
09/09/2019,130.74
09/10/2019,115.73
09/11/2019,136.26
09/12/2019,126.65
09/13/2019,121.49
09/14/2019,107.74
09/15/2019,101.74
09/16/2019,124.01
09/17/2019,137.09
09/18/2019,106.7
09/19/2019,108.38
09/20/2019,105.41
09/21/2019,111.34
09/22/2019,99.91
09/23/2019,62.17
09/24/2019,97.42
09/25/2019,91.75
09/26/2019,110.34
09/27/2019,87.34
09/28/2019,73.44
09/29/2019,65.74
09/30/2019,60.87
10/01/2019,61.57
10/02/2019,83.89
10/03/2019,81.5
10/04/2019,62.24
10/05/2019,115.11
10/06/2019,110.87
10/07/2019,104.14
10/08/2019,119.79
10/09/2019,121.26
10/10/2019,118.23
10/11/2019,97.95
10/12/2019,84.56
10/13/2019,94.71
10/14/2019,117.78
10/15/2019,71.87
10/16/2019,90.91
10/17/2019,80
10/18/2019,87.81
10/19/2019,89.56
10/20/2019,118.2
10/21/2019,92.31
10/22/2019,109.9
10/23/2019,114.55
10/24/2019,58.69
10/25/2019,92.69
10/26/2019,91.81
10/27/2019,76.04
10/28/2019,92.86
10/29/2019,73.17
10/30/2019,84.09
10/31/2019,59.8
11/01/2019,65.48
11/02/2019,93.65
11/03/2019,66.2
11/04/2019,70.48
11/05/2019,77.62
11/06/2019,75.14
11/07/2019,93.46
11/08/2019,67.03
11/09/2019,63.12
11/10/2019,80.45
11/11/2019,60.86
11/12/2019,73.93
11/13/2019,92.09
11/14/2019,70.42
11/15/2019,93.68
11/16/2019,92.5
11/17/2019,62.22
11/18/2019,60.14
11/19/2019,90.27
11/20/2019,68.58
11/21/2019,70.1
11/22/2019,72.82
11/23/2019,77.52
11/24/2019,72.37
11/25/2019,80.06
11/26/2019,70.13
11/27/2019,67.75
11/28/2019,63.46
11/29/2019,72.1
11/30/2019,66.65
12/01/2019,67.84
12/02/2019,59.27
12/03/2019,60.75
12/04/2019,64.35
12/05/2019,59.19
12/06/2019,61.85
12/07/2019,58.9
12/08/2019,57.8
12/09/2019,55.61
12/10/2019,54.04
12/11/2019,56.87
12/12/2019,50.06
12/13/2019,50.1
12/14/2019,49.91
12/15/2019,43.07
12/16/2019,48.83
12/17/2019,56.52
12/18/2019,40.93
12/19/2019,22.63
12/20/2019,32.74
12/21/2019,48.68
12/22/2019,30.17
12/23/2019,3.69
12/24/2019,27.59
12/25/2019,11.75
12/26/2019,56.54
12/27/2019,46.61
12/28/2019,-54.01
12/29/2019,-48
12/30/2019,-33.44
12/31/2019,16.77
